ED/ES,Vendor,Centre,Dice LV,Jaccard LV,Hausdorff LV,ASSD LV,Dice MYO,Jaccard MYO,Hausdorff MYO,ASSD MYO,Dice RV,Jaccard RV,Hausdorff RV,ASSD RV
ED,A,6,0.8991622711759231,0.8167981961668546,11.942280255240204,1.8551656387978468,0.7826204290918904,0.6428729771669253,20.63741248645143,1.6587886930974172,0.9222087867795244,0.8556469708302169,10.608238442426828,0.26986598191259
ED,B,3,0.976667855868712,0.9543996653186444,2.0669274753328173,0.16621714917426653,0.8626262626262626,0.7584369449378331,4.133854950665635,0.4097243852717531,0.9766720604099244,0.9544076953485308,2.9230768680572514,0.11287702522835673
ED,B,2,0.9787234042553192,0.9583333333333334,3.547297239303589,0.11704914314142732,0.8943064101565542,0.8088193857424627,11.312070024139985,0.2709583164493532,0.9616303136443242,0.926096289481754,2.643999254493388,0.15934912193234474
ES,A,6,0.9290528556225612,0.8675057966213978,7.5,0.3862611267054548,0.8846107568282998,0.7930960086299892,10.965856099730654,0.4751213608400002,0.91207300530275,0.8383586488324642,10.111874208078342,0.41984268270643177
ED,B,3,0.9740121983558738,0.9493409149651072,4.1911765336990365,0.2085674062052352,0.8510392609699771,0.7407035175879397,4.4178879741128005,0.4252077532525002,0.9535541389061976,0.9112312202271896,10.752403792708328,0.6778204329380989
ES,D,5,0.9047826718999856,0.8261215821608707,7.954500317573547,0.6178325159876568,0.8757396449704142,0.7789473684210526,10.0,0.551932889404666,0.9200318809776832,0.8519065190651907,8.112030468037505,0.31581040540272864
ED,C,4,0.9169929002720456,0.846709962014459,10.109571890772711,2.1538612814910287,0.850302855494664,0.7395885599598595,16.68768854547684,1.2165772024420418,0.925770097670924,0.8617988529864317,6.120338622162106,0.4202165305170256
ED,D,5,0.9392787734830491,0.8855095476568544,20.63705544602288,0.9868922846200912,0.8217857494179756,0.6974841367026606,10.0,0.4585525523207245,0.7072842385871376,0.5471305136823872,25.875437819557447,6.276202275443932
ED,B,2,0.973874936794202,0.9490801576872536,4.929577350616455,0.15855780282429585,0.8757012622720898,0.7788866365195696,10.075653616688195,0.394750940073946,0.9574468085106383,0.9183673469387756,4.929577350616455,0.1391371358731254
ED,A,6,0.9573686731598277,0.9182235834609496,20.279299790673246,0.5922212273477724,0.8311377245508982,0.7110655737704918,10.606601717798213,0.5555749886124829,0.8875174198686044,0.7977809591982821,20.05617112013158,2.315051986752902
ED,C,4,0.9649896498964988,0.9323478260869564,3.3192184754127485,0.20145233881677635,0.9017084535167518,0.821010101010101,4.453198313713075,0.3236411996496693,0.9324184603816148,0.8733932030287023,7.421997189521789,0.2859872540432551
ED,B,2,0.9165779778960296,0.8460027202659816,8.277026891708374,0.4494050082106799,0.826171875,0.7038269550748752,10.610528625095494,0.531098656815991,0.9252477209671026,0.860893937158873,6.8947065196989215,0.2920871530070521
ED,D,5,0.9122327392773322,0.8386286039453718,21.96057011853191,1.8289820593441644,0.7869062901155327,0.6486772486772486,28.77127868997855,1.4765050541684257,0.8319234502842879,0.7122165499228303,11.69203034333277,0.9859971280259571
ES,A,1,0.9570702645873488,0.9176747311827956,4.3750001192092896,0.18187521705690454,0.9155877783531848,0.8443170964660937,4.3750001192092896,0.27691186621606445,0.9212795549374132,0.8540484785972151,7.853365557725043,0.3491953698306413
ED,B,2,0.9204994130829154,0.8527085804665876,10.069664662318816,2.304563859673542,0.8559255168060597,0.7481379310344828,12.487027527081564,0.7913500314075649,0.8953465920061788,0.8105226359028141,11.616955723803375,1.3387716341983702
ES,B,2,0.9187997965756908,0.8497961743493259,3.7391796046089016,0.35133364319313304,0.8744261409667837,0.7768714011516314,5.912162065505981,0.42873052290891,0.8213932806324109,0.6969188849297842,19.248605119887632,1.0340485685101517
ES,D,5,0.9063615560640732,0.8287579511215266,30.0,2.3450006354018464,0.7767121133846948,0.6349381219933165,12.703683281401796,0.783855954435948,0.4674036741993172,0.3049750716028429,45.63579748596111,6.548596670173597
ES,D,5,0.9346326402624344,0.8772867234196704,4.772999882698058,0.2932503559205604,0.8344260101685844,0.715892785398611,7.954999804496765,0.565020317995877,0.8331521739130435,0.7140195621797858,13.500616279672439,1.541356683231892
ED,A,6,0.9640831758034026,0.9306569343065694,10.137937524366519,0.4241262293933389,0.8499355023649133,0.7390329012961117,14.240006056163995,0.6086512627689566,0.8849302607640994,0.7936097892590075,20.548046612102254,2.2402359952631983
ES,B,3,0.9693273869118048,0.9404803956199222,10.0,0.2214946959985372,0.9254104211277658,0.8611756891398207,13.417254190870171,0.3434512615620893,0.943235484767108,0.8925692253767964,5.588235378265381,0.2351509905546715
ED,A,1,0.9607209503436348,0.9244109661031796,5.475999659023455,0.32358862776790764,0.8849046569930867,0.7935686060771222,10.625,0.7069742860788091,0.8834020324041955,0.7911549707602339,15.820991526708546,1.1196220499762384
ES,A,6,0.8596858638743455,0.7539026629935721,11.836854021420708,3.3051887643954023,0.8498669707335614,0.7389292795769994,12.253117619835756,1.1432127061702742,0.9380983979524126,0.8834136761292626,10.124571327729214,0.3331440952497854
ES,A,1,0.9660890029952932,0.9344024831867564,5.666666507720947,0.18583183208268453,0.8950891601507566,0.8101008043987374,5.841066139120855,0.2446035994724511,0.9202728629290129,0.852319842053307,9.916666388511658,0.32223439930237463
ES,C,4,0.914020371479928,0.8416551724137931,11.724270465699913,0.7308643716267353,0.9113415858146536,0.8371235402581438,10.845623499918377,0.6371556612306002,0.8239226033421284,0.7005683517798384,11.342167311752092,1.0484427785655408
ES,C,4,0.9428344581183008,0.8918512955313556,4.198519343049353,0.2907154011072547,0.8964335773244043,0.812305955405024,4.198519343049353,0.35595376804414897,0.7882575757575757,0.6505157861831823,18.85735102744852,3.2809724788344394
ED,B,3,0.965041851304776,0.9324452901998096,3.1239185450176605,0.216777426388482,0.8558125097004501,0.7479652740097666,14.8006141198953,0.3677158859297468,0.974032501256492,0.9493794905290659,3.1239185450176605,0.09041980067412286
ES,B,2,0.849367850692354,0.7381749686061113,11.125128718194203,2.5180605462370007,0.8758927940032529,0.7791897332662305,10.870874083999876,1.0028345907588772,0.9345610804174341,0.8771606360912653,8.608237904023847,0.1640724383049368
ED,B,3,0.9662647337759112,0.9347313237221494,2.96875,0.2446223595736992,0.8687960687960687,0.7680278019113814,4.198446513295127,0.37026690760600334,0.9679814950085219,0.9379497463725376,4.453125,0.1601712296942476
ES,D,5,0.9180032978563932,0.8484344693821003,4.773000240325928,0.2908398087532904,0.8979047749256588,0.8147252201960055,5.625034516831568,0.29886520809261097,0.8523564064801178,0.7427013153673404,10.341499745845796,0.5221334308949501
ES,C,4,0.7477477477477478,0.5971223021582733,11.47772942187766,3.3045999701692703,0.8355109659356043,0.7174914846724103,12.689961068461168,2.0243666535114757,0.8378936499741869,0.7210128831630387,10.0,0.6341920280021301
